arterycode,direction,sideofint,centreline_id,match_on_case,was_match_on_case
455,Southbound,N,906898,10,12
28506,Eastbound,W,906898,10,12
24126,Northbound,S,30029306,10,12
3823,Northbound,S,30037208,10,12
34316,Eastbound,W,30012958,10,12
34317,Westbound,E,30012958,10,12
34009,Westbound,E,30073636,10,12
34008,Eastbound,W,30073636,10,12
29970,Westbound,W,104477,10,12
1980,Westbound,E,20140757,10,12
25357,Northbound,N,20041330,10,12
25360,Southbound,N,20041330,10,12
3285,Eastbound,W,30011544,10,12
33160,Southbound,N,14307786,10,12
33159,Northbound,N,14307786,10,12
28922,Eastbound,W,30085272,10,12
28921,Westbound,E,30085273,10,12
22250,Northbound,S,10487714,10,12
22251,Southbound,N,10487714,10,12
3504,Southbound,N,14304138,10,2
31473,Southbound,N,30004696,10,2
23107,Eastbound,W,112765,10,2
36363,Southbound,S,436109,10,2
24887,Westbound,W,30060510,10,2
24886,Eastbound,W,30060510,10,2
3526,Northbound,S,108379,10,2
28179,Southbound,N,30013783,10,2
28180,Northbound,N,30013783,10,2
29639,Northbound,N,30011526,10,2
23318,Southbound,N,30011526,10,2
34510,Southbound,N,20364355,10,2
30237,Northbound,S,20111019,10,2
20519,Westbound,W,30005881,10,2
1686,Northbound,S,105462,10,3
3351,Southbound,N,7514990,10,3
29614,Southbound,N,2597802,10,3
32485,Southbound,N,30075834,10,3
20608,Northbound,S,7074349,10,4
20609,Southbound,N,7074349,10,4
37224,Southbound,N,111323,10,4
37225,Northbound,S,111323,10,4
33844,Eastbound,W,7731208,10,5
37388,Northbound,S,14049254,10,5
37390,Southbound,N,14049254,10,5
