arterycode,direction,sideofint,centreline_id,match_on_case,was_match_on_case
3954,Northbound,N,109346,10,10
3954,Southbound,N,109346,10,10
3954,Northbound,S,30059609,10,10
3954,Southbound,S,30059609,10,10
3954,Eastbound,W,30001838,10,10
3954,Westbound,W,30001838,10,10
3954,Eastbound,E,11653468,10,10
3954,Westbound,E,11653468,10,10
6446,Northbound,N,1146396,10,10
6446,Southbound,N,1146396,10,10
6446,Eastbound,W,30089213,10,10
6446,Westbound,W,30089213,10,10
6446,Eastbound,E,7586942,10,10
6446,Westbound,E,7586942,10,10
14947,Northbound,S,20235984,10,10
14947,Southbound,S,20235984,10,10
14947,Eastbound,W,20235972,10,10
14947,Westbound,W,20235972,10,10
14947,Eastbound,E,20235971,10,10
14947,Westbound,E,20235971,10,10
24761,Northbound,N,20111586,10,10
24761,Southbound,N,20111586,10,10
24761,Eastbound,W,30015173,10,10
24761,Westbound,W,30015173,10,10
24761,Eastbound,E,20111567,10,10
24761,Westbound,E,20111567,10,10
26356,Northbound,N,30009706,10,10
26356,Southbound,N,30009706,10,10
26356,Northbound,S,30009705,10,10
26356,Southbound,S,30009705,10,10
26356,Eastbound,E,30009707,10,10
26356,Westbound,E,30009707,10,10
32030,Northbound,N,30028870,10,10
32030,Southbound,N,30028870,10,10
32030,Northbound,S,30021316,10,10
32030,Southbound,S,30021316,10,10
32030,Eastbound,W,30021271,10,10
32030,Westbound,W,30021271,10,10
32030,Eastbound,E,30021270,10,10
32030,Westbound,E,30021270,10,10
32321,Eastbound,W,14189397,10,10
32321,Westbound,W,14189397,10,10
32481,Northbound,N,8206167,10,10
32481,Southbound,N,8206167,10,10
36908,Northbound,N,14675328,10,10
36908,Southbound,N,14675328,10,10
36908,Northbound,S,30074506,10,10
36908,Southbound,S,30074506,10,10
36908,Eastbound,W,14675135,10,10
36908,Westbound,W,14675135,10,10
4709,Northbound,N,20154558,10,10
4709,Southbound,N,20154558,10,10
4709,Northbound,S,20154544,10,10
4709,Southbound,S,20154544,10,10
4709,Eastbound,W,20154621,10,10
4709,Westbound,W,20154621,10,10
4709,Eastbound,E,20154557,10,10
4709,Westbound,E,20154557,10,10
5009,Northbound,N,30021551,10,10
5009,Southbound,N,30021551,10,10
5009,Northbound,S,30021550,10,10
5009,Southbound,S,30021550,10,10
5009,Eastbound,W,30082393,10,10
5009,Westbound,W,30082393,10,10
3965,Northbound,N,445156,10,10
3965,Southbound,N,445156,10,10
3965,Northbound,S,445250,10,10
3965,Southbound,S,445250,10,10
3965,Eastbound,W,445222,10,10
3965,Westbound,W,445222,10,10
3965,Eastbound,E,445155,10,10
3965,Westbound,E,445155,10,10
4039,Northbound,N,20044501,10,10
4039,Southbound,N,20044501,10,10
4039,Northbound,S,14204029,10,10
4039,Southbound,S,14204029,10,10
4039,Eastbound,W,30012612,10,10
4039,Westbound,W,30012612,10,10
4039,Eastbound,E,14204001,10,10
4039,Westbound,E,14204001,10,10
4080,Northbound,N,1147102,10,10
4080,Southbound,N,1147102,10,10
4080,Eastbound,W,1147107,10,10
4080,Westbound,W,1147107,10,10
4080,Eastbound,E,13515818,10,10
4080,Westbound,E,13515818,10,10
4202,Northbound,N,3065754,10,10
4202,Southbound,N,3065754,10,10
4202,Northbound,S,14037155,10,10
4202,Southbound,S,14037155,10,10
4202,Eastbound,W,1146332,10,10
4202,Westbound,W,1146332,10,10
4202,Eastbound,E,10864309,10,10
4202,Westbound,E,10864309,10,10
4363,Northbound,N,30073909,10,10
4363,Southbound,N,30073909,10,10
4363,Northbound,S,436832,10,10
4363,Southbound,S,436832,10,10
4363,Eastbound,W,436758,10,10
4363,Westbound,W,436758,10,10
4363,Eastbound,E,436731,10,10
4363,Westbound,E,436731,10,10
4406,Northbound,N,14134993,10,10
4406,Southbound,N,14134993,10,10
4406,Northbound,S,14134903,10,10
4406,Southbound,S,14134903,10,10
4406,Eastbound,W,14134884,10,10
4406,Westbound,W,14134884,10,10
4406,Eastbound,E,14134896,10,10
4406,Westbound,E,14134896,10,10
4507,Northbound,N,1139880,10,10
4507,Southbound,N,1139880,10,10
4507,Northbound,S,1140199,10,10
4507,Southbound,S,1140199,10,10
4507,Eastbound,W,1139963,10,10
4507,Westbound,W,1139963,10,10
4507,Eastbound,E,1139879,10,10
4507,Westbound,E,1139879,10,10
4720,Northbound,N,30016129,10,10
4720,Southbound,N,30016129,10,10
4720,Northbound,S,8680975,10,10
4720,Southbound,S,8680975,10,10
4720,Eastbound,W,432,10,10
4720,Westbound,W,432,10,10
4720,Eastbound,E,8677049,10,10
4720,Westbound,E,8677049,10,10
4778,Northbound,N,8824030,10,10
4778,Southbound,N,8824030,10,10
4778,Northbound,S,7862433,10,10
4778,Southbound,S,7862433,10,10
4778,Eastbound,W,6238151,10,10
4778,Westbound,W,6238151,10,10
4778,Eastbound,E,6195239,10,10
4778,Westbound,E,6195239,10,10
4779,Northbound,N,6231632,10,10
4779,Southbound,N,6231632,10,10
4779,Northbound,S,20048482,10,10
4779,Southbound,S,20048482,10,10
4779,Eastbound,W,914479,10,10
4779,Westbound,W,914479,10,10
4779,Eastbound,E,6195251,10,10
4779,Westbound,E,6195251,10,10
4873,Northbound,N,20044267,10,10
4873,Southbound,N,20044267,10,10
4873,Northbound,S,30089847,10,10
4873,Southbound,S,30089847,10,10
4873,Eastbound,W,8087218,10,10
4873,Westbound,W,8087218,10,10
4873,Eastbound,E,30089844,10,10
4873,Westbound,E,30089844,10,10
4924,Northbound,N,14013313,10,10
4924,Southbound,N,14013313,10,10
4924,Northbound,S,14013595,10,10
4924,Southbound,S,14013595,10,10
4924,Eastbound,W,1142774,10,10
4924,Westbound,W,1142774,10,10
4924,Eastbound,E,8416915,10,10
4924,Westbound,E,8416915,10,10
4978,Northbound,N,20231119,10,10
4978,Southbound,N,20231119,10,10
4978,Northbound,S,30017549,10,10
4978,Southbound,S,30017549,10,10
