arterycode,centreline_id,direction,sideofint,match_on_case,artery_type
1,110795,Eastbound,W,1,1
2,110795,Westbound,W,1,1
3,907512,Westbound,E,1,1
4,907659,Eastbound,W,1,1
5,30004153,Westbound,E,12,1
6,20259494,Eastbound,W,2,1
7,906766,Westbound,E,1,1
8,7062996,Eastbound,W,12,1
9,6942647,Westbound,E,1,1
10,907544,Eastbound,W,1,1
11,907572,Westbound,E,1,1
12,6138279,Eastbound,W,1,1
13,906946,Westbound,E,3,1
14,906786,Westbound,E,1,1
16,907054,Eastbound,W,1,1
17,907067,Westbound,E,1,1
18,906946,Eastbound,W,3,1
19,906966,Westbound,E,1,1
20,9187244,Eastbound,W,1,1
21,906876,Westbound,E,1,1
22,10985942,Eastbound,W,4,1
23,906835,Eastbound,W,1,1
24,906845,Westbound,E,1,1
27,907135,Westbound,E,1,1
28,10558015,Eastbound,E,1,1
29,906822,Westbound,E,1,1
30,445355,Eastbound,W,1,1
32,1141417,Southbound,S,1,1
33,1141099,Westbound,E,1,1
34,8408346,Southbound,N,1,1
35,8408346,Northbound,S,1,1
36,1143400,Northbound,S,1,1
38,1146579,Northbound,S,1,1
39,1146569,Southbound,N,1,1
40,7929250,Northbound,S,1,1
41,7929250,Southbound,N,1,1
42,438867,Northbound,S,1,1
43,438845,Southbound,N,1,1
44,20235606,Southbound,N,2,1
45,270,Northbound,S,1,1
46,242,Southbound,N,1,1
47,30071209,Northbound,S,2,1
48,11485139,Northbound,S,1,1
49,436853,Southbound,N,1,1
50,30075786,Northbound,N,1,1
51,30075786,Southbound,N,1,1
52,493,Northbound,S,1,1
53,7741312,Southbound,N,1,1
54,438309,Southbound,N,1,1
55,440731,Northbound,S,1,1
56,439830,Southbound,N,1,1
57,11653349,Southbound,N,1,1
58,437495,Northbound,S,1,1
59,9531471,Southbound,N,1,1
60,9340683,Northbound,S,1,1
61,,Northbound,N,9,1
62,,Southbound,N,9,1
63,9531674,Northbound,S,1,1
66,439519,Northbound,S,1,1
67,439830,Northbound,S,1,1
68,12691166,Northbound,N,1,1
69,9344889,Southbound,N,1,1
70,4807577,Northbound,S,1,1
71,8649806,Southbound,N,1,1
72,9278734,Northbound,S,1,1
73,884,Southbound,N,1,1
74,774,Northbound,S,1,1
75,9340638,Southbound,N,1,1
76,1151,Northbound,S,1,1
77,14661333,Southbound,N,1,1
78,1328,Northbound,S,1,1
79,30068876,Southbound,N,2,1
80,436495,Southbound,N,1,1
81,442900,Northbound,S,1,1
82,442864,Southbound,N,1,1
83,30071842,Northbound,N,2,1
84,1786,Southbound,S,1,1
85,1142049,Southbound,S,1,1
86,1141989,Southbound,N,1,1
87,9531471,Northbound,S,1,1
88,30044441,Southbound,N,2,1
89,439367,Northbound,S,1,1
90,439197,Southbound,N,1,1
91,,Northbound,N,11,1
92,436375,Northbound,S,1,1
93,,Southbound,N,11,1
94,436375,Southbound,S,1,1
95,13497406,Northbound,S,1,1
97,440025,Northbound,S,1,1
99,11763744,Northbound,S,1,1
