arterycode,match_on_case,artery_type,location,direction,sideofint
1,1,1,ADANAC DR E/B W OF BELLAMY RD,Eastbound,W
2,1,1,ADANAC DR W/B W OF BELLAMY RD,Westbound,W
3,1,1,ALBION RD W/B E OF ARCOT BLVD,Westbound,E
4,1,1,ALBION RD E/B W OF ARMEL CRT,Eastbound,W
5,12,1,ALBION RD W/B E OF ARMEL CRT,Westbound,E
6,2,1,ALBION RD E/B W OF CARRIER DR,Eastbound,W
7,1,1,ALBION RD W/B E OF CARRIER DR,Westbound,E
8,12,1,ALBION RD E/B W OF CLAIREPORT CRES,Eastbound,W
9,1,1,ALBION RD W/B E OF CODLIN CRES,Westbound,E
10,1,1,ALBION RD E/B W OF ELMHURST DR,Eastbound,W
11,1,1,ALBION RD W/B E OF ELMHURST DR,Westbound,E
12,1,1,ALBION RD E/B W OF FINCH AVE,Eastbound,W
13,3,1,ALBION RD W/B E OF FINCH AVE,Westbound,E
14,1,1,ALBION RD W/B E OF HIGHWAY 27,Westbound,E
16,1,1,ALBION RD E/B W OF ISLINGTON AVE,Eastbound,W
17,1,1,ALBION RD W/B E OF ISLINGTON AVE,Westbound,E
18,3,1,ALBION RD E/B W OF KIPLING AVE,Eastbound,W
19,1,1,ALBION RD W/B E OF KIPLING AVE,Westbound,E
20,1,1,ALBION RD E/B W OF MARTIN GROVE RD,Eastbound,W
21,1,1,ALBION RD W/B E OF MARTIN GROVE RD,Westbound,E
22,4,1,ALBION RD E/B W OF RIVERDALE DR,Eastbound,W
23,1,1,ALBION RD E/B W OF SILVERSTONE DR,Eastbound,W
24,1,1,ALBION RD W/B E OF SILVERSTONE DR,Westbound,E
27,1,1,ALBION RD W/B E OF THISTLEDOWN BLVD,Westbound,E
28,1,1,ALBION RD E/B E OF HIGHWAY 27,Eastbound,E
29,1,1,ALBION RD W/B E OF WESTMORE DR,Westbound,E
30,1,1,WALSH AVE E/B W OF WESTON RD E TCS,Eastbound,W
32,1,1,AVENUE RD S/B S OF DAVENPORT RD,Southbound,S
33,1,1,AYLMER AVE W/B E OF YONGE ST,Westbound,E
34,1,1,BAY ST S/B N OF CHARLES ST W,Southbound,N
35,1,1,BAY ST N/B S OF BLOOR ST,Northbound,S
36,1,1,BAY ST N/B S OF BREADALBANE ST,Northbound,S
38,1,1,BAY ST N/B S OF LAKE SHORE BLVD W,Northbound,S
39,1,1,BAY ST S/B N OF LAKE SHORE BLVD W,Southbound,N
40,1,1,BAY ST N/B S OF HARBOUR ST,Northbound,S
41,1,1,BAY ST S/B N OF QUEENS QUAY,Southbound,N
42,1,1,BAYVIEW AVE N/B S OF BAYVIEW MEWS LANE,Northbound,S
43,1,1,BAYVIEW AVE S/B N OF BAYVIEW MEWS LANE,Southbound,N
44,2,1,BAYVIEW AVE S/B N OF BLYTHWOOD RD,Southbound,N
45,1,1,BAYVIEW AVE N/B S OF BROADWAY AVE,Northbound,S
46,1,1,BAYVIEW AVE S/B N OF BROADWAY AVE,Southbound,N
47,2,1,BAYVIEW AVE N/B S OF CITATION DR,Northbound,S
48,1,1,BAYVIEW AVE N/B S OF CUMMER AVE,Northbound,S
49,1,1,BAYVIEW AVE S/B N OF CUMMER AVE,Southbound,N
50,1,1,BAYVIEW AVE N/B N OF EASTERN AVE,Northbound,N
51,1,1,BAYVIEW AVE S/B N OF EASTERN AVE,Southbound,N
52,1,1,BAYVIEW AVE N/B S OF EGLINTON AVE,Northbound,S
53,1,1,BAYVIEW AVE S/B N OF EGLINTON AVE,Southbound,N
54,1,1,BAYVIEW AVE S/B N OF EMPRESS AVE,Southbound,N
55,1,1,BAYVIEW AVE N/B S OF FIFE RD,Northbound,S
56,1,1,BAYVIEW AVE S/B N OF FIFESHIRE RD N,Southbound,N
57,1,1,BAYVIEW AVE S/B N OF FIFESHIRE RD S,Southbound,N
58,1,1,BAYVIEW AVE N/B S OF FINCH AVE,Northbound,S
59,1,1,BAYVIEW AVE S/B N OF FINCH AVE,Southbound,N
60,1,1,BAYVIEW AVE N/B S OF MANOR RD,Northbound,S
61,9,1,BAYVIEW AVE EXT N/B N OF FRONT ST,Northbound,N
62,9,1,BAYVIEW AVE EXT S/B N OF FRONT ST,Southbound,N
63,1,1,BAYVIEW AVE N/B S OF GARNIER CRES,Northbound,S
66,1,1,BAYVIEW AVE N/B S OF HIGHWAY 401 N TCS,Northbound,S
67,1,1,BAYVIEW AVE N/B S OF HIGHWAY 401 S TCS,Northbound,S
68,1,1,BAYVIEW AVE N/B N OF LAWRENCE AVE,Northbound,N
69,1,1,BAYVIEW AVE S/B N OF MANOR RD,Southbound,N
70,1,1,BAYVIEW AVE N/B S OF MCKEE AVE,Northbound,S
71,1,1,BAYVIEW AVE S/B N OF MCKEE AVE,Southbound,N
72,1,1,BAYVIEW AVE N/B S OF MCRAE DR,Northbound,S
73,1,1,BAYVIEW AVE S/B N OF MERTON ST,Southbound,N
74,1,1,BAYVIEW AVE N/B S OF MILLWOOD RD,Northbound,S
75,1,1,BAYVIEW AVE S/B N OF MILLWOOD RD,Southbound,N
76,1,1,BAYVIEW AVE N/B S OF MOORE AVE,Northbound,S
77,1,1,BAYVIEW AVE S/B N OF MOORE AVE,Southbound,N
78,1,1,BAYVIEW AVE N/B S OF NESBITT DR,Northbound,S
79,2,1,BAYVIEW AVE S/B N OF NESBITT DR,Southbound,N
80,1,1,BAYVIEW AVE S/B N OF NEWTON DR,Southbound,N
81,1,1,BAYVIEW AVE N/B S OF POST RD,Northbound,S
82,1,1,BAYVIEW AVE S/B N OF POST RD,Southbound,N
83,2,1,BAYVIEW AVE N/B N OF POTTERY RD RAMP,Northbound,N
84,1,1,BAYVIEW AVE S/B S OF POTTERY RD RAMP,Southbound,S
85,1,1,BAYVIEW AVE S/B S OF ROSEDALE VALLEY RD,Southbound,S
86,1,1,BAYVIEW AVE S/B N OF ROSEDALE VALLEY RD,Southbound,N
87,1,1,BAYVIEW AVE N/B S OF RUDDINGTON DR,Northbound,S
88,2,1,BAYVIEW AVE S/B N OF RUDDINGTON DR,Southbound,N
89,1,1,BAYVIEW AVE N/B S OF SHEPPARD AVE,Northbound,S
90,1,1,BAYVIEW AVE S/B N OF SHEPPARD AVE,Southbound,N
91,11,1,BAYVIEW AVE N/B N OF STEELES AVE,Northbound,N
92,1,1,BAYVIEW AVE N/B S OF STEELES AVE,Northbound,S
93,11,1,BAYVIEW AVE S/B N OF STEELES AVE,Southbound,N
94,1,1,BAYVIEW AVE S/B S OF STEELES AVE,Southbound,S
95,1,1,BAYVIEW AVE N/B S OF CNIB DRIVEWAY,Northbound,S
97,1,1,BAYVIEW AVE N/B S OF TRUMAN RD,Northbound,S
99,1,1,BAYVIEW AVE N/B S OF YORK MILLS RD,Northbound,S
100,1,1,BAYVIEW AVE S/B N OF YORK MILLS RD,Southbound,N
101,1,1,BEAMISH DR N/B S OF BLOOR  ST,Northbound,S
102,1,1,BELMONT ST E/B E OF DAVENPORT RD,Eastbound,E
104,1,1,BELMONT ST E/B W OF YONGE ST,Eastbound,W
105,1,1,BERTRAND AVE E/B E OF BIRCHMOUNT RD,Eastbound,E
106,1,1,BERTRAND AVE W/B E OF BIRCHMOUNT RD,Westbound,E
107,1,1,BLACK CREEK DR N/B S OF EGLINTON AVE,Northbound,S
108,1,1,BLACK CREEK DR S/B N OF EGLINTON AVE,Southbound,N
110,1,1,BLACK CREEK DR S/B N OF PHOTOGRAPHY DR,Southbound,N
111,1,1,BLACK CREEK DR N/B N OF LAWRENCE AVE,Northbound,N
112,1,1,BLACK CREEK DR N/B S OF LAWRENCE AVE,Northbound,S
113,1,1,BLACK CREEK DR S/B N OF LAWRENCE AVE,Southbound,N
114,1,1,BLACK CREEK DR N/B S OF PHOTOGRAPHY RD,Northbound,S
116,1,1,BLACK CREEK DR N/B S OF TRETHEWEY DR,Northbound,S
117,1,1,BLACK CREEK DR S/B N OF TRETHEWEY DR,Southbound,N
118,1,1,BLACK CREEK DR S/B N OF WESTON RD,Southbound,N
119,1,1,BLOOR ST E/B W OF BEAMISH DR,Eastbound,W
120,1,1,BLOOR ST W/B E OF DUNBLOOR RD,Westbound,E
121,1,1,BLOOR ST W/B W OF PARLIAMENT ST,Westbound,W
122,1,1,BLOOR ST E/B W OF QUEENS PARK,Eastbound,W
123,1,1,BLOOR ST E/B E OF SHERBOURNE ST,Eastbound,E
124,1,1,BRIMLEY RD S/B N OF ALEXMUIR BLVD,Southbound,N
125,2,1,BRIMLEY RD N/B S OF BRIMORTON DRIVE,Northbound,S
126,2,1,BRIMLEY RD N/B S OF BRIMWOOD BLVD,Northbound,S
127,1,1,BRIMLEY RD N/B S OF CHARTLAND BLVD S,Northbound,S
128,1,1,BRIMLEY RD S/B N OF CHARTLAND BLVD,Southbound,N
129,1,1,BRIMLEY RD N/B S OF DANFORTH RD,Northbound,S
130,1,1,BRIMLEY RD S/B N OF DANFORTH RD,Southbound,N
131,1,1,BRIMLEY RD N/B S OF DEERFIELD RD,Northbound,S
132,1,1,BRIMLEY RD S/B N OF DEERFIELD RD,Southbound,N
133,2,1,BRIMLEY RD N/B S OF DORCOT AVE,Northbound,S
134,2,1,BRIMLEY RD S/B N OF DORCOT AVE,Southbound,N
135,2,1,BRIMLEY RD N/B S OF EAGLEDANCE DR,Northbound,S
136,1,1,BRIMLEY RD N/B S OF EGLINTON AVE,Northbound,S
137,1,1,BRIMLEY RD S/B N OF EGLINTON AVE,Southbound,N
138,1,1,BRIMLEY RD N/B S OF ELLESMERE RD,Northbound,S
139,1,1,BRIMLEY RD S/B N OF ELLESMERE RD,Southbound,N
140,1,1,BRIMLEY RD N/B S OF FINCH AVE,Northbound,S
141,2,1,BRIMLEY RD S/B N OF FINCH AVE,Southbound,N
142,2,1,BRIMLEY RD N/B S OF HEATHER RD,Northbound,S
143,1,1,BRIMLEY RD S/B N OF HEATHER RD,Southbound,N
144,1,1,BRIMLEY RD N/B S OF HUNTINGWOOD DR,Northbound,S
145,1,1,BRIMLEY RD S/B N OF HUNTINGWOOD DR,Southbound,N
146,1,1,BRIMLEY RD N/B S OF KINGSTON RD,Northbound,S
147,1,1,BRIMLEY RD S/B N OF KINGSTON RD,Southbound,N
148,2,1,BRIMLEY RD N/B S OF LAWRENCE AVE,Northbound,S
149,1,1,BRIMLEY RD S/B N OF LAWRENCE AVE,Southbound,N
150,2,1,BRIMLEY RD N/B S OF MCNICOLL AVE,Northbound,S
151,1,1,BRIMLEY RD S/B N OF MCNICOLL AVE,Southbound,N
152,1,1,BRIMLEY RD N/B S OF PITFIELD RD,Northbound,S
153,2,1,BRIMLEY RD S/B N OF PITFIELD RD,Southbound,N
154,1,1,BRIMLEY RD S/B N OF PORT ROYAL TRL N,Southbound,N
155,3,1,BRIMLEY RD S/B N OF PORT ROYAL TRAIL S,Southbound,N
156,1,1,BRIMLEY RD N/B S OF PROGRESS AVE,Northbound,S
157,1,1,BRIMLEY RD S/B N OF PROGRESS AVE,Southbound,N
158,2,1,BRIMLEY RD N/B S OF SHEPPARD AVE,Northbound,S
159,1,1,BRIMLEY RD S/B N OF SHEPPARD AVE,Southbound,N
160,1,1,BRIMLEY RD N/B S OF ST CLAIR AVE,Northbound,S
161,1,1,BRIMLEY RD S/B N OF ST CLAIR AVE,Southbound,N
162,11,1,BRIMLEY RD N/B N OF STEELES AVE,Northbound,N
163,1,1,BRIMLEY RD N/B S OF STEELES AVE,Northbound,S
164,11,1,BRIMLEY RD S/B N OF STEELES AVE,Southbound,N
166,1,1,BRIMLEY RD N/B S OF TRITON RD,Northbound,S
167,1,1,BRIMLEY RD S/B N OF TRITON RD,Southbound,N
168,1,1,BRIMLEY RD S/B N OF WATERFIELD DR,Southbound,N
169,1,1,BRIMLEY RD N/B S OF WENLOCK GT,Northbound,S
170,1,1,BROWNS LINE N/B S OF ALDERWOOD PLAZA,Northbound,S
171,1,1,BROWNS LINE S/B N OF ALDERWOOD PLAZA,Southbound,N
172,1,1,BROWNS LINE N/B S OF HORNER AVE,Northbound,S
173,1,1,BROWNS LINE S/B N OF HORNER AVE,Southbound,N
174,1,1,BROWNS LINE N/B N OF LAKE SHORE BLVD,Northbound,N
176,1,1,BROWNS LINE N/B S OF VALERMO DR,Northbound,S
177,1,1,BROWNS LINE S/B N OF VALERMO DR,Southbound,N
178,1,1,CORDOVA AVE N/B S OF DUNDAS ST,Northbound,S
179,1,1,BURNHAMTHORPE RD E/B W OF HIGHWAY 427 E TCS,Eastbound,W
180,1,1,BURNHAMTHORPE RD W/B E OF HIGHWAY 427 E TCS,Westbound,E
