centreline_id,linear_name_id,linear_name_full,fnode,tnode,dir,shape_length
6738452,100,Don Mills Rd E,13445327,13445214,NB,165.59
30044625,100,Don Mills Rd E,30044623,13445327,NB,54.833
30044624,100,Don Mills Rd E,13445637,30044623,NB,269.519
437253,100,Don Mills Rd E,13445214,13445096,NB,122.33
9950377,100,Don Mills Rd E,13445950,13445637,NB,302.2
9950387,100,Don Mills Rd W,13445986,13445522,SB,533.05
437854,100,Don Mills Rd W,13446105,13445986,SB,136.31
437459,100,Don Mills Rd W,13445522,13445233,SB,279.19
437272,100,Don Mills Rd W,13445233,13445096,SB,120.11
8730995,458,Kipling Ave,13468252,13468211,BOTH,39.45
911997,458,Kipling Ave,13468306,13468252,EB,59.9
911995,458,Kipling Ave,13468300,13468306,EB,10.9
8047,703,Yore Rd,13459825,13459874,BOTH,37.36
8104,703,Yore Rd,13459874,13459985,BOTH,104.14
30075995,703,Trethewey Dr,13460119,13459985,BOTH,81.549
