arterycode,count_type,loc,type,road,road_rank,tot_days
117,PermAutom,BLACK CREEK DR S/B N OF TRETHEWEY DR,Other,,6,1287
152,PermAutom,BRIMLEY RD N/B S OF PITFIELD RD,Other,,6,3533
153,PermAutom,BRIMLEY RD S/B N OF PITFIELD RD,Other,,6,3776
236,PermAutom,DIXON RD W/B E OF ISLINGTON AVE,Other,,6,505
460,PermAutom,FINCH AVE E/B W OF BATHURST ST,Other,,6,3095
461,PermAutom,FINCH AVE W/B E OF BATHURST ST,Other,,6,3182
549,PermAutom,ISLINGTON AVE N/B S OF DIXON RD,Other,,6,555
550,PermAutom,ISLINGTON AVE S/B N OF DIXON RD,Other,,6,558
689,PermAutom,KEELE ST S/B N OF THE CHIMNEYSTACK RD,Other,,6,1581
699,PermAutom,KENNEDY RD N/B S OF CARDWELL AVE,Other,,6,2967
700,PermAutom,KENNEDY RD S/B N OF COLLINGWOOD ST,Other,,6,2754
702,PermAutom,KINGSTON RD E/B W OF BEECHGROVE DR,Other,,6,1227
703,PermAutom,KINGSTON RD W/B E OF BEECHGROVE DR,Other,,6,1493
826,PermAutom,LAKE SHORE BLVD E/B W OF BATHURST ST,RESCU,Lakeshore,4,4613
827,PermAutom,LAKE SHORE BLVD W/B E OF BATHURST ST,RESCU,Lakeshore,4,3788
829,PermAutom,LAKE SHORE BLVD W/B E OF BAY ST,RESCU,Lakeshore,4,3187
833,PermAutom,LAKE SHORE BLVD W/B E OF CHERRY ST N,RESCU,Lakeshore,4,4716
834,PermAutom,LAKE SHORE BLVD W/B E OF CHERRY ST S,RESCU,Lakeshore,4,3658
835,PermAutom,LAKE SHORE BLVD E/B W OF COLBORNE LODGE DR,RESCU,Lakeshore,4,2257
836,PermAutom,LAKE SHORE BLVD W/B E OF COLBORNE LODGE DR,RESCU,Lakeshore,4,3819
843,PermAutom,LAKE SHORE BLVD E/B W OF ELLIS AVE,RESCU,Lakeshore,4,4459
844,PermAutom,LAKE SHORE BLVD W/B E OF ELLIS AVE,RESCU,Lakeshore,4,3364
845,PermAutom,LAKE SHORE BLVD E/B E OF COOPER ST,RESCU,Lakeshore,4,4462
846,PermAutom,LAKE SHORE BLVD W/B E OF LOWER JARVIS ST,RESCU,Lakeshore,4,4875
849,PermAutom,LAKE SHORE BLVD E/B W OF NEWFOUNDLAND RD,RESCU,Lakeshore,4,3768
850,PermAutom,LAKE SHORE BLVD W/B E OF NEWFOUNDLAND RD,RESCU,Lakeshore,4,3803
851,PermAutom,LAKE SHORE BLVD E/B W OF ONTARIO DR,RESCU,Lakeshore,4,4225
852,PermAutom,LAKE SHORE BLVD W/B E OF ONTARIO DR,RESCU,Lakeshore,4,4203
853,PermAutom,LAKE SHORE BLVD W/B E OF PARKSIDE DR,RESCU,Lakeshore,4,4511
856,PermAutom,LAKE SHORE BLVD E/B W OF REES ST,RESCU,Lakeshore,4,3968
857,PermAutom,LAKE SHORE BLVD W/B E OF REES ST,RESCU,Lakeshore,4,3365
858,PermAutom,LAKE SHORE BLVD E/B E OF FORT YORK BLVD,RESCU,Lakeshore,4,3742
860,PermAutom,LAKE SHORE BLVD E/B W OF SHERBOURNE ST,RESCU,Lakeshore,4,3192
862,PermAutom,LAKE SHORE BLVD E/B W OF SPADINA AVE,RESCU,Lakeshore,4,2924
864,PermAutom,LAKE SHORE BLVD W/B E OF STADIUM RD,RESCU,Lakeshore,4,4567
865,PermAutom,LAKE SHORE BLVD W/B E OF FORT YORK BLVD,RESCU,Lakeshore,4,3279
867,PermAutom,LAKE SHORE BLVD W/B E OF WINDERMERE AVE,RESCU,Lakeshore,4,3473
868,PermAutom,HARBOUR ST E/B E OF BAY ST,RESCU,Harbour,5,3141
884,PermAutom,LAWRENCE AVE E/B W OF CULFORD RD,Other,,6,3453
885,PermAutom,LAWRENCE AVE W/B E OF CULFORD RD,Other,,6,2343
946,PermAutom,LESLIE ST N/B S OF YORK MILLS RD,Other,,6,1578
947,24 HOUR,LESLIE ST S/B N OF YORK MILLS RD,Other,,6,534
1007,24 HOUR,MIDLAND AVE N/B S OF MIDWEST RD,Other,,6,247
1105,PermAutom,OVERLEA BLVD E/B E OF MILLWOOD RD,Other,,6,318
1174,PermAutom,RAMP DON VALLEY PKWY S/B TO WYNFORD DR,RESCU,DVP,2,2364
1176,PermAutom,RAMP DON VALLEY PKWY S/B TO YORK MILLS RD E/B & W/B,RESCU,DVP,2,2073
1374,PermAutom,SHEPPARD AVE W/B W OF MORNINGSIDE AVE,Other,,6,1232
1407,PermAutom,SHEPPARD AVE E/B W OF GORDON AVE,Other,,6,2379
1410,PermAutom,SHEPPARD AVE W/B W OF KENNEDY RD,Other,,6,2004
1417,PermAutom,SHEPPARD AVE E/B E OF MARKHAM RD,Other,,6,521
1444,PermAutom,SHEPPARD AVE W/B W OF MARKHAM RD,Other,,6,179
1630,PermAutom,STEELES AVE E/B E OF KEELE ST,Other,,6,1252
1632,24 HOUR,STEELES AVE E/B W OF PICKERING TOWN LINE,Other,,6,301
1633,24 HOUR,STEELES AVE W/B W OF PICKERING TOWN LINE,Other,,6,260
