"","arterycode","match_on_case","artery_type","location","direction","sideofint"
"18584",30430,1,1,"YONGE BLVD S/B S OF OLD ORCHARD GRV","Southbound","S"
"12310",23521,1,1,"KENNEDY RD N/B S OF COWDRAY COURT","Northbound","S"
"7157",13071,1,1,"ATLAS AVE S/B S OF AVA RD","Southbound","S"
"20030",32013,1,1,"RODDA BLVD S/B N OF LAWRENCE AVE","Southbound","N"
"13934",25333,1,1,"OAKWOOD AVE S/B N OF VAUGHAN RD","Southbound","N"
"964",1018,1,1,"MIDLAND AVE N/B S OF SOUTH SHIELDS AVE","Northbound","S"
"18367",30199,1,1,"LN N OF QUEEN ST W/B W OF MARKHAM ST","Westbound","W"
"17114",28840,1,1,"MILNER AV W/B W OF DAILING GT","Westbound","W"
"906",958,1,1,"MARTIN GROVE RD S/B N OF EGLINTON AVE","Southbound","N"
"2290",2411,1,1,"EGLINTON AVE W/B E OF DANFORTH RD","Westbound","E"
"11239",22284,1,1,"TERRAVIEW BLVD E/B E OF VICTORIA PARK AVE","Eastbound","E"
"8619",15638,1,1,"ERIN ST N/B S OF DERBY ST","Northbound","S"
"16997",28722,1,1,"GUILDWOOD PKWY W/B E OF LIVINGSTON RD","Westbound","E"
"1681",1772,1,1,"WESTON RD S/B N OF NORTHLAND AVE","Southbound","N"
"8780",15896,1,1,"ST CLARENS AVE N/B N OF LAPPIN AVE","Northbound","N"
"17829",29620,1,1,"YORK ST S/B N OF BREMNER BLVD","Southbound","N"
"21639",33699,1,1,"WINTERMUTE BLVD E/B E OF AMBERCROFT BLVD","Eastbound","E"
"10706",21673,1,1,"BURR AVE E/B E OF BERRYTON AVE","Eastbound","E"
"1605",1696,1,1,"WARDEN AVE N/B S OF DANFORTH RD","Northbound","S"
"3598",3857,1,1,"SPADINA AVE N/B S OF NASSAU ST","Northbound","S"
"16273",27937,1,1,"ATTWELL DR S/B N OF BELFIELD RD","Southbound","N"
"7018",12591,1,1,"SCUNTHORPE AVE N/B N OF MILNER AVE","Northbound","N"
"18601",30448,1,1,"MCNICOLL AVE W/B E OF MYERS LANE","Westbound","E"
"21869",33937,1,1,"FOXRIDGE DR E/B W OF KENNEDY RD","Eastbound","W"
"9543",20450,1,1,"MIDDLEFIELD RD N/B S OF MCNICOLL AVE","Northbound","S"
"17185",28920,1,1,"DIVADALE DR E/B W OF BRENTCLIFFE RD","Eastbound","W"
"15356",26911,1,1,"NORTH PARK DR W/B E OF SPARTA RD","Westbound","E"
"8358",15279,1,1,"CONVAIR DR W/B E OF RENFORTH DR","Westbound","E"
"9886",20823,1,1,"STEEPROCK DR W/B W OF LODESTAR RD","Westbound","W"
"10769",21756,1,1,"PATRICIA AVE E/B W OF FARGO AVE","Eastbound","W"
"10577",21538,1,1,"EASTON RD N/B S OF SHEPPARD AVE","Northbound","S"
"11615",22710,1,1,"BIRCHMOUNT RD N/B N OF VAUXHALL DR","Northbound","N"
"12285",23485,1,1,"KIPLING AVE N/B S OF GENTHORN AVE","Northbound","S"
"16320",27986,1,1,"SANDHURST CIR N/B S OF FINCH AVE E TCS","Northbound","S"
"7604",13922,1,1,"DUNDAS ST W/B W OF LESLIE ST","Westbound","W"
"16620",28319,1,1,"SAM FRUSTAGLIO DR N/B N OF MARGARET ROSE CRT","Northbound","N"
"2585",2725,1,1,"KENNEDY RD S/B N OF HIGHWAY 401 N TCS","Southbound","N"
"18376",30209,1,1,"MULOCK AVE S/B S OF HIRONS ST","Southbound","S"
"10867",21861,1,1,"HOLMES AVE E/B W OF DUDLEY AVE","Eastbound","W"
"12744",24018,1,1,"CHERRY ST S/B N OF VILLIERS ST","Southbound","N"
"10665",21627,1,1,"GLENGROVE AVE E/B W OF HAVEN RD","Eastbound","W"
"21630",33690,1,1,"DUNMURRAY BLVD W/B E OF QUEENSCOURT DR","Westbound","E"
"8806",15924,1,1,"CHAPLIN CRES E/B W OF YONGE ST","Eastbound","W"
"1996",2104,1,1,"BIRCHMOUNT RD N/B S OF ALLANFORD RD","Northbound","S"
"1194",1269,1,1,"LESLIE ST N/B TO HIGHWAY 401 W/B","Northbound","S"
"18346",30177,1,1,"CORDELLA AVE E/B E OF LOUVAIN ST","Eastbound","E"
"24422",36683,1,1,"EVELYN AVE NB S OF ST JOHNS RD","Northbound","S"
"12730",24003,1,1,"F G GARDINER EXPY W/B E OF ISLINGTON AVE","Westbound","E"
"18640",30488,1,1,"ASPEN AVE S/B N OF PARKVIEW HILL CRES","Southbound","N"
"20874",32897,1,1,"PACHINO BLVD W/B E OF WARINGSTOWN DR","Westbound","E"
"25477",37826,1,1,"QUEEN ST W E/B E OF LANSDOWNE AVE","Eastbound","E"
"19941",31915,1,1,"CHEATHAM PL E/B E OF BERNER TRL","Eastbound","E"
"16936",28658,1,1,"PARK BLVD W/B W OF LONG BRANCH AVE","Westbound","W"
"9312",20177,1,1,"BERTRAND AVE W/B E OF MOZART AVE","Westbound","E"
"10571",21532,1,1,"BAYVIEW MEWS LANE W/B E OF BAYVIEW AVE","Westbound","E"
"12005",23161,1,1,"THE KINGSWAY W/B E OF KIPLING AVE","Westbound","E"
"18669",30517,1,1,"EASTDALE AVE N/B S OF GOODWOOD PARK CRES","Northbound","S"
"14154",25562,1,1,"WAYNE AVE S/B N OF WALBON RD","Southbound","N"
"13865",25261,1,1,"EVANS AVE E/B E OF THE WEST MALL","Eastbound","E"
"8536",15499,1,1,"ULSTER ST E/B E OF MANNING AVE","Eastbound","E"
"15359",26914,1,1,"RUSHBROOKE AVE N/B S OF QUEEN ST","Northbound","S"
"17334",29082,1,1,"BAYVIEW RIDGE CRES E/B W OF VALLEY RIDGE PL","Eastbound","W"
"7078",12888,1,1,"DUPONT ST E/B W OF BATHURST ST","Eastbound","W"
"15505",27073,1,1,"MAGELLAN DR N/B S OF DOMBEY RD","Northbound","S"
