"group_number","group_number","same_volume"
301,309,t
328,3920,t
345,184,t
477,459,t
479,1908,t
614,559,t
618,12828,t
717,2332,t
823,17838,t
845,14974,t
845,27833,t
1117,7125,t
1255,3499,t
1601,28117,t
1625,442,t
69,91,t
9593,6720,t
9593,9552,t
1172,30950,t
18013,5224,t
71,47,t
72,86,t
18015,4869,t
74,101,t
5,14676,t
11,14673,t
15,6138,t
20,28160,t
25,16968,t
40,24987,t
41,79,t
47,71,t
51,11760,t
56,2061,t
60,9116,t
62,12999,t
63,110,t
63,10452,t
64,26714,t
65,17788,t
77,14410,t
79,41,t
80,119,t
84,29556,t
86,72,t
88,12349,t
90,14447,t
91,69,t
94,122,t
101,74,t
110,63,t
113,25264,t
114,18051,t
119,80,t
132,276,t
133,19575,t
137,21235,t
139,7382,t
140,9403,t
140,9485,t
142,320,t
145,26319,t
147,150,t
153,23464,t
184,345,t
179,243,t
192,17645,t
192,27508,t
214,3260,t
218,20131,t
224,17382,t
231,11530,t
237,360,t
237,20631,t
238,559,t
239,27651,t
239,30478,t
243,179,t
244,26627,t
244,29160,t
245,14692,t
249,14733,t
249,28972,t
251,365,t
251,23696,t
255,10726,t
275,3255,t
276,132,t
276,355,t
411,2552,t
286,383,t
286,125,t
295,22856,t
277,16348,t
299,529,t
307,29160,t
309,301,t
309,14722,t
320,142,t
320,356,t
322,24086,t
324,23723,t
330,9794,t
330,16298,t
338,28758,t
341,3572,t
344,10079,t
355,276,t
356,320,t
356,26402,t
357,2424,t
360,237,t
365,251,t
372,407,t
372,25212,t
379,11417,t
412,7283,t
383,286,t
385,14496,t
391,11530,t
392,432,t
393,25646,t
442,1625,t
407,372,t
428,2538,t
428,20992,t
432,392,t
437,30364,t
439,9077,t
439,19617,t
450,10558,t
454,27816,t
605,15120,t
605,803,t
459,477,t
463,5123,t
522,22036,t
529,299,t
529,7271,t
553,18154,t
559,614,t
559,238,t
576,602,t
581,882,t
584,781,t
585,14017,t
585,19353,t
590,19631,t
599,28968,t
602,576,t
627,18602,t
651,20364,t
659,700,t
663,664,t
664,663,t
676,713,t
677,9414,t
688,11766,t
690,24533,t
700,659,t
704,29266,t
713,676,t
17671,26275,t
726,30495,t
732,17351,t
739,17640,t
757,22668,t
757,23097,t
761,21091,t
778,9847,t
781,584,t
17672,27826,t
795,22007,t
798,28624,t
806,836,t
812,15111,t
812,20290,t
812,22257,t
815,841,t
817,828,t
817,16403,t
828,817,t
831,30832,t
833,29504,t
836,806,t
840,11091,t
841,815,t
882,581,t
863,27591,t
873,19355,t
874,6018,t
876,3977,t
885,27424,t
900,4625,t
911,18766,t
922,3187,t
935,18316,t
935,29195,t
943,30257,t
955,2432,t
968,28081,t
976,7390,t
976,8902,t
982,2871,t
982,966,t
1021,14734,t
1037,28149,t
1046,19194,t
1063,1113,t
1111,2213,t
1113,1063,t
1124,6459,t
1145,13581,t
1181,4396,t
1181,20907,t
1183,11297,t
1188,4676,t
1258,1341,t
1249,28579,t
1249,30327,t
1252,26171,t
1331,1528,t
1331,22269,t
1299,1470,t
1308,7505,t
1341,1258,t
1353,25019,t
1401,9247,t
1385,30002,t
1392,8324,t
1454,7506,t
1398,1400,t
1400,1398,t
1410,3833,t
1414,1621,t
1415,5861,t
17875,19781,t
1428,21964,t
1437,27366,t
1440,23794,t
1470,1299,t
1494,19861,t
1504,25046,t
1507,20708,t
1528,1331,t
1548,7174,t
1550,28379,t
1754,15360,t
1754,24163,t
1570,14677,t
1575,4454,t
1581,22377,t
1592,1758,t
1592,2210,t
1597,3948,t
1604,9101,t
1613,24274,t
1620,11170,t
1621,1414,t
1691,31043,t
1645,9139,t
1647,7886,t
1657,16775,t
1664,1797,t
1664,1660,t
1666,12933,t
1666,15876,t
1673,1767,t
1676,7425,t
1676,27656,t
1679,30743,t
1683,22289,t
1687,17417,t
1694,23729,t
1698,9412,t
1710,17857,t
1710,28443,t
1724,18175,t
1729,1760,t
1735,28906,t
1791,21759,t
18205,20211,t
1756,9219,t
1758,1592,t
1758,1786,t
1760,1729,t
1760,7234,t
1767,1673,t
1767,15912,t
1773,1786,t
1779,7962,t
1783,11796,t
1784,12078,t
1785,8610,t
1786,1758,t
1786,1773,t
1788,18272,t
1793,27496,t
1793,30440,t
1797,1664,t
1797,1660,t
1872,29060,t
19745,23954,t
1813,25694,t
1821,2089,t
1833,6699,t
1833,7234,t
1834,24285,t
1837,1994,t
1845,15611,t
1846,1883,t
1849,5758,t
1849,15668,t
1854,27729,t
1874,19135,t
1874,23681,t
1861,1925,t
1862,3752,t
1886,20622,t
1867,15198,t
1878,15411,t
1878,15501,t
1879,12085,t
1883,1846,t
1885,15434,t
1885,15603,t
1891,8737,t
1891,13994,t
1892,21092,t
1907,1929,t
1908,479,t
1914,1945,t
1925,1861,t
1929,1907,t
1929,2034,t
1932,9636,t
1945,1914,t
1945,2073,t
1953,23651,t
1958,1972,t
1964,19413,t
1964,20863,t
1968,3284,t
1968,5896,t
1971,5115,t
1986,9631,t
1988,15648,t
1994,1837,t
2015,20775,t
2020,2024,t
2020,7282,t
2024,2020,t
2024,7806,t
2034,1929,t
2068,24733,t
2068,30321,t
2058,13322,t
2061,56,t
2072,13258,t
2073,1945,t
2078,14850,t
2078,14882,t
2101,2148,t
2089,1821,t
2095,5115,t
2128,27706,t
2110,27307,t
2120,12988,t
2134,2201,t
2136,15036,t
2141,2094,t
2146,23296,t
2148,2101,t
2153,2162,t
2162,2153,t
2171,10039,t
2171,14915,t
2172,11289,t
2212,2222,t
2213,1111,t
2214,13172,t
2214,26310,t
2215,2195,t
2215,3475,t
2195,2215,t
2195,14540,t
2201,2134,t
2205,6558,t
2209,23818,t
2210,1592,t
2222,2212,t
2224,4248,t
2231,5488,t
2232,19548,t
2241,17311,t
2249,6716,t
2275,2290,t
2276,22847,t
2290,2275,t
2292,22543,t
2309,2459,t
7215,22007,t
2332,717,t
2332,2745,t
2389,3074,t
2408,13293,t
2421,2440,t
2421,29004,t
2424,357,t
2427,2433,t
2432,955,t
2433,2427,t
2437,26032,t
2440,2421,t
2501,30520,t
2458,11733,t
2459,2309,t
2459,9159,t
2466,10882,t
2472,2479,t
2479,2472,t
2483,19833,t
2488,4665,t
2494,2544,t
2496,21890,t
2511,12310,t
2515,23967,t
2518,6790,t
2523,2555,t
2523,25939,t
2538,428,t
2541,12438,t
2544,2494,t
2545,20857,t
2550,12534,t
2552,411,t
2554,17370,t
2555,2523,t
2555,21388,t
2561,2634,t
2561,14712,t
2563,18419,t
2569,2617,t
2580,26787,t
2588,13306,t
2591,2686,t
2591,30734,t
2596,2673,t
2665,11140,t
2617,2569,t
2618,8935,t
2628,2663,t
2632,25073,t
2634,2561,t
2645,18417,t
2655,8993,t
2663,2628,t
2666,5765,t
2674,11031,t
2683,7282,t
2686,2591,t
2687,21463,t
2689,9450,t
2700,18144,t
2713,14620,t
19043,26846,t
2745,2332,t
2727,2756,t
2727,29787,t
2729,2793,t
2730,26489,t
2732,8419,t
2747,7623,t
2747,7370,t
2755,2798,t
2756,2727,t
2782,2821,t
2793,2729,t
2793,11059,t
2794,28254,t
2798,2755,t
2824,8813,t
18416,9157,t
2821,2782,t
2847,11266,t
2883,2915,t
2861,15072,t
2866,3043,t
2869,8758,t
2869,12475,t
2871,982,t
2885,27018,t
2951,14051,t
2924,2961,t
2961,2924,t
2967,11891,t
2967,18064,t
2969,21329,t
2974,5837,t
3443,19073,t
3443,29566,t
3001,3734,t
3006,26783,t
3018,9978,t
3029,20511,t
3043,2866,t
3044,8278,t
3050,3089,t
3051,19751,t
3054,6511,t
3057,16630,t
3063,12256,t
3063,10819,t
3074,2389,t
3075,19818,t
3079,17270,t
3081,12783,t
3540,3533,t
3137,29349,t
3138,4675,t
3138,7651,t
3158,26913,t
3161,29712,t
3403,24780,t
3169,9121,t
3187,922,t
3204,21013,t
3206,3235,t
3206,15341,t
3210,8286,t
3231,3255,t
3231,16450,t
3235,3206,t
3235,10318,t
3238,3893,t
3238,12577,t
3255,275,t
3255,3231,t
3258,4225,t
3258,30927,t
3260,214,t
3260,4945,t
3270,16398,t
3297,7955,t
3279,10318,t
3284,1968,t
3350,20092,t
3360,17650,t
3363,8342,t
3374,29570,t
3375,25145,t
3408,14206,t
3382,17650,t
3382,22469,t
3395,17822,t
3792,29769,t
3407,2152,t
3439,20398,t
3475,2215,t
3488,8810,t
3493,8108,t
3499,1255,t
3499,30230,t
3511,3577,t
3527,25642,t
3527,27382,t
3533,3540,t
3545,3556,t
3556,3545,t
3572,341,t
3577,3511,t
3590,19115,t
3600,3628,t
3606,24847,t
3608,22796,t
3628,3600,t
3637,12636,t
3655,19487,t
3655,19604,t
4252,13735,t
3664,16563,t
