arterycode,location,count_type,centreline_id,direction,sideofint,comment
27701,ALBION RD E/B W OF PED SIGNAL W OF KIPLING AVE,24 HOUR,906946,Eastbound,W,
37807,ALBION RD W/B E OF FINCH AVE W MIDBLOCK TCS,24 HOUR,906946,Westbound,E,
36440,LANEWAY WB N OF CONNOLLY ST S OF RUTLAND ST,24 HOUR,30066221,Westbound,S,
36439,LANEWAY EB N OF CONNOLLY ST S OF RUTLAND ST,24 HOUR,30066221,Eastbound,S,
28978,SAMMON AVE AT PARKING LOT EAST OF COXWELL AVE,R,3072790,Eastbound,W,
28978,SAMMON AVE AT PARKING LOT EAST OF COXWELL AVE,R,3072790,Westbound,W,
6476,FINCH AVE AT CNR SERVICE RD & 220M E OF ALEXDON RD (PX 1091),R,11272524,Eastbound,E,
6476,FINCH AVE AT CNR SERVICE RD & 220M E OF ALEXDON RD (PX 1091),R,11272524,Westbound,E,
31126,BRIMLEY RD AT TTC BUS STOP (N OF WENLOCK GATE),R,103245,Northbound,N,
31157,BRIMLEY RD AT TTC BUS STOP (N OF WENLOCK GATE),R,103246,Southbound,N,
31157,LN N OF DANFORTH AVE AT PLUM PL,R,30073535,Northbound,N,
31157,LN N OF DANFORTH AVE AT PLUM PL,R,30073535,Southbound,N,
31157,LN N OF DANFORTH AVE AT PLUM PL,R,20110688,Eastbound,W,
31157,LN N OF DANFORTH AVE AT PLUM PL,R,20110688,Westbound,W,
31157,LN N OF DANFORTH AVE AT PLUM PL,R,20110694,Eastbound,E,
31157,LN N OF DANFORTH AVE AT PLUM PL,R,20110694,Westbound,E,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,9011650,Northbound,S,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,9011650,Southbound,S,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,109516,Northbound,N,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,109516,Southbound,N,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,9638451,Eastbound,W,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,9638451,Westbound,W,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,3497265,Eastbound,E,
31595,MCCOWAN RD AT SCARBOROUGH GENERAL HOSPITAL 100 M N OF LAWREN,R,3497265,Westbound,E,
5667,DUFFERIN ST AT PONTIAC BUICK PLAZA / YORKDALE MALL (PX 1137),R,444365,Northbound,N,
5667,DUFFERIN ST AT PONTIAC BUICK PLAZA / YORKDALE MALL (PX 1137),R,444365,Southbound,N,
32322,LAKE SHORE BLVD AT 224M W OF KEW BEACH AVE (PX 1951),R,30043655,Eastbound,E,
32322,LAKE SHORE BLVD AT 224M W OF KEW BEACH AVE (PX 1951),R,30043655,Westbound,E,
36086,GERRY FITZGERALD DR @ 1ST DRWY S OF STEELES AVE,R,14673442,Northbound,S,
36086,GERRY FITZGERALD DR @ 1ST DRWY S OF STEELES AVE,R,14673442,Southbound,S,
36438,LANEWAY N OF CONNOLLY ST S OF RUTLAND ST,R,30066221,Eastbound,E,
36438,LANEWAY N OF CONNOLLY ST S OF RUTLAND ST,R,30066221,Westbound,E,
36481,NORTH QUEEN ST AT 186M EAST OF THE EAST MALL AT LAWES DRIVEW,R,913528,Eastbound,E,
36481,NORTH QUEEN ST AT 186M EAST OF THE EAST MALL AT LAWES DRIVEW,R,913528,Westbound,E,
36882,MOUNT PLEASANT RD AT ENTRANCE TO MOUNT PLEASANT CEMETERY,R,30004916,Northbound,S,
36882,MOUNT PLEASANT RD AT ENTRANCE TO MOUNT PLEASANT CEMETERY,R,30004916,Southbound,S,
37281,ST JOSEPHS HOSPITAL AT THE QUEENSWAY,R,10757619,Eastbound,W,
37281,ST JOSEPHS HOSPITAL AT THE QUEENSWAY,R,10757619,Westbound,W,
37593,STEELES AVE E AT SPLENDID CHINA TOWER WEST DRIVEWAY,R,30017745,Eastbound,W,
37593,STEELES AVE E AT SPLENDID CHINA TOWER WEST DRIVEWAY,R,30017745,Westbound,W,
37594,STEELES AVE E AT SPLENDID CHINA TOWER EAST DRIVEWAY,R,14303963,Eastbound,E,
37594,STEELES AVE E AT SPLENDID CHINA TOWER EAST DRIVEWAY,R,14303963,Westbound,E,
31474,WILLIAM CARSON CRES N/B N OF CUL-DE-SAC,24 HOUR,13971133,Northbound,N,
31475,WILLIAM CARSON CRES S/B N OF CUL-DE-SAC,24 HOUR,13971133,Southbound,N,
1166,RAMP DIXON RD E/B TO HIGHWAY 27 N/B,24 HOUR,909095,Eastbound,W,
35347,FINCH AVE W/B E OF MORNINSIDE AVE,24 HOUR,30065648,Westbound,E,
3919,RAMP LESLIE ST S/B TO F G GARDINER EXPY W/B,24 HOUR,,Southbound,N,does not exist
30547,KNOB HILL DR W/B E OF CROSSROADS PL,24 HOUR,20059734,Westbound,E,
3550,REXDALE BLVD W/B E OF REXWOOD RD,24 HOUR,,Westbound,E,outside of toronto boundary
15284,ALCIDE ST S/B S OF STEELES AVE,24 HOUR,14677610,Southbound,S,
24782,KIRKHAMS RD N/B S OF ROUGE RIVER BRIDGE,24 HOUR,30002424,Northbound,S,
24781,KIRKHAMS RD S/B S OF ROUGE RIVER BRIDGE,24 HOUR,30002424,Southbound,S,
34321,ETIENNE ST W/B E OF BELL ESTATE RD,24 HOUR,20232321,Westbound,E,
26474,ARNOTT AVE S/B S OF FINCH AVE W,24 HOUR,,Southbound,S,does not exist
15287,ALCIDE ST N/B S OF STEELES AVE,24 HOUR,14677610,Northbound,S,
62,BAYVIEW AVE EXT S/B N OF FRONT ST,24 HOUR,30060868,Southbound,N,
26473,ARNOTT AVE N/B S OF FINCH AVE W,24 HOUR,,Northbound,S,does not exist
26691,EASTERN AVE E/B W OF BAYVIEW AVE,24 HOUR,5788486,Eastbound,W,
35346,FINCH AVE E/B W OF MORNINGSIDE AVE,24 HOUR,30064524,Eastbound,W,
61,BAYVIEW AVE EXT N/B N OF FRONT ST,24 HOUR,30060868,Northbound,N,
6523,STEELES AVE W/B W OF ALBION RD,24 HOUR,,Westbound,W,outside of toronto boundary
34318,BELL ESTATE RD E/B W OF BIRCHMOUNT RD,24 HOUR,,Eastbound,W,bell estate road does not intersect with birchmount
34320,ETIENNE ST E/B W OF PILKINGTON DR,24 HOUR,20232321,Eastbound,W,
3549,REXDALE BLVD E/B W OF HIGHWAY 427 W TCS,24 HOUR,,Eastbound,W,outside of toronto boundary
26692,EASTERN AVE W/B W OF BAYVIEW AVE,24 HOUR,5788486,Westbound,W,
3284,HIGHWAY 27 N/B TO DIXON RD W/B,24 HOUR,909016,Northbound,S,
1283,RAMP F G GARDINER EXPY E/B TO ISLINGTON AVE N/B,24 HOUR,913561,Eastbound,E,
34319,BELL ESTATE RD W/B E OF OATES DR,24 HOUR,,Westbound,E,bell estate road does not intersect with oates drive
11552,VERMONT AVE E/B E OF ROSSMORE RD,24 HOUR,14673844,Eastbound,E,
33894,EILEEN AVE E/B W OF BERNICE CRES,24 HOUR,,Eastbound,W,cannot tell which segment this is referring to
11551,VERMONT AVE W/B E OF ROSSMORE RD,24 HOUR,14673844,Westbound,E,
28285,HOME DEPOT DRWY N/B S OF STEELES AV,24 HOUR,,Northbound,S,does not exist
28284,HOME DEPOT DRWY S/B S OF STEELES AV,24 HOUR,,Southbound,S,does not exist
33391,CHELFORD ROAD W/B E OF #30 CHELFORD ROAD,24 HOUR,442215,Westbound,E,
33928,PLYMBRIDGE ROAD E/B W OF # 69 PLYMBRIDGE ROAD,24 HOUR,442452,Eastbound,W,
34674,MARCHINGTON CIR E/B W OF # 30 MARCHINGTON CIR,24 HOUR,109421,Eastbound,W,
34672,MARCHINGTON CIR S/B N OF # 10 MARCHINGTON CIR,24 HOUR,109421,Southbound,N,
37255,MARKHAM RD S/B N OF TCS 190 M S OF STEELES AVE,24 HOUR,20364356,Southbound,N,
33185,APEX RD W/B E OF #44 APEX RD,24 HOUR,10851728,Westbound,E,
36445,W R ALLEN RD NB TO LAWRENCE AVE W EB,24 HOUR,445486,Northbound,S,
35745,CLARENCE SQ AT WELLINGTON ST,24 HOUR,30064108,Northbound,N,TMC
35745,CLARENCE SQ AT WELLINGTON ST,24 HOUR,30064105,Northbound,S,TMC
35745,CLARENCE SQ AT WELLINGTON ST,24 HOUR,7929725,Eastbound,E,TMC
35745,CLARENCE SQ AT WELLINGTON ST,24 HOUR,7929725,Westbound,E,TMC
35978,ALGONQUIN AVE AT INDIAN RD,24 HOUR,8564480,Northbound,N,TMC
35978,ALGONQUIN AVE AT INDIAN RD,24 HOUR,8564480,Southbound,N,TMC
35978,ALGONQUIN AVE AT INDIAN RD,24 HOUR,8006940,Northbound,S,TMC
35978,ALGONQUIN AVE AT INDIAN RD,24 HOUR,8006940,Southbound,S,TMC
35978,ALGONQUIN AVE AT INDIAN RD,24 HOUR,1146666,Eastbound,W,TMC
35978,ALGONQUIN AVE AT INDIAN RD,24 HOUR,1146666,Westbound,W,TMC
35262,DAN LECKIE WAY AT FG GARDINER UNDERPASS,24 HOUR,30076853,Northbound,N,TMC
35262,DAN LECKIE WAY AT FG GARDINER UNDERPASS,24 HOUR,30076853,Southbound,N,TMC
35262,DAN LECKIE WAY AT FG GARDINER UNDERPASS,24 HOUR,30023614,Northbound,S,TMC
35262,DAN LECKIE WAY AT FG GARDINER UNDERPASS,24 HOUR,30023614,Southbound,S,TMC
35748,BUSHEY AVE AT WESTON RD,24 HOUR,8714,Northbound,N,TMC
35748,BUSHEY AVE AT WESTON RD,24 HOUR,8714,Southbound,N,TMC
35748,BUSHEY AVE AT WESTON RD,24 HOUR,8722,Northbound,S,TMC
35748,BUSHEY AVE AT WESTON RD,24 HOUR,8722,Southbound,S,TMC
35748,BUSHEY AVE AT WESTON RD,24 HOUR,9544961,Eastbound,W,TMC
35748,BUSHEY AVE AT WESTON RD,24 HOUR,9544961,Westbound,W,TMC
35751,BERTAL RD AT INDUSTRY ST,24 HOUR,9109930,Northbound,N,TMC
35751,BERTAL RD AT INDUSTRY ST,24 HOUR,9109930,Southbound,N,TMC
35751,BERTAL RD AT INDUSTRY ST,24 HOUR,8051,Eastbound,E,TMC
35751,BERTAL RD AT INDUSTRY ST,24 HOUR,8051,Westbound,E,TMC
35751,BERTAL RD AT INDUSTRY ST,24 HOUR,8046,Eastbound,W,TMC
35751,BERTAL RD AT INDUSTRY ST,24 HOUR,8046,Westbound,W,TMC
33356,CLEARVIEW HTS AT TRETHEWEY DR,24 HOUR,,Northbound,N,"cannot tell which segment this is referring to, no count"
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,6620032,Northbound,N,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,6620032,Southbound,N,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,1583,Northbound,S,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,1583,Southbound,S,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,1519,Eastbound,E,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,1519,Westbound,E,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,1574,Eastbound,W,TMC
32384,SAMMON AVE AT WOODBINE AVE,24 HOUR,1574,Westbound,W,TMC
35809,DONLANDS AVE AT PLAINS RD,24 HOUR,10269630,Northbound,N,TMC
35809,DONLANDS AVE AT PLAINS RD,24 HOUR,10269630,Southbound,N,TMC
35809,DONLANDS AVE AT PLAINS RD,24 HOUR,10269846,Northbound,S,TMC
35809,DONLANDS AVE AT PLAINS RD,24 HOUR,10269846,Southbound,S,TMC
35809,DONLANDS AVE AT PLAINS RD,24 HOUR,14253062,Eastbound,E,TMC
35809,DONLANDS AVE AT PLAINS RD,24 HOUR,14253062,Westbound,E,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,9667910,Northbound,N,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,9667910,Southbound,N,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,9667449,Northbound,S,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,9667449,Southbound,S,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,446247,Eastbound,E,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,446247,Westbound,E,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,9667519,Eastbound,W,TMC
35697,DUFFERIN ST AT GLEN PARK AVE,24 HOUR,9667519,Westbound,W,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446105,Northbound,N,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446105,Southbound,N,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446270,Northbound,S,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446270,Southbound,S,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446104,Eastbound,E,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446104,Westbound,E,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446162,Eastbound,W,TMC
33355,FARNSWORTH DR AT QUEENSLEA AVE,24 HOUR,446162,Westbound,W,TMC
31339,SELWYN AVE AT WESTVIEW BLVE,24 HOUR,377,Northbound,S,TMC
31339,SELWYN AVE AT WESTVIEW BLVE,24 HOUR,377,Southbound,S,TMC
31339,SELWYN AVE AT WESTVIEW BLVE,24 HOUR,343,Eastbound,E,TMC
31339,SELWYN AVE AT WESTVIEW BLVE,24 HOUR,343,Westbound,E,TMC
