arterycode,direction,sideofint,centreline_id,match_on_case,was_match_on_case
455,Southbound,N,906898,10,12
28506,Eastbound,W,906898,10,12
24126,Northbound,S,30029306,10,12
3823,Northbound,S,30037208,10,12
34316,Eastbound,W,30012958,10,12
34317,Westbound,E,30012958,10,12
34009,Westbound,E,30073636,10,12
34008,Eastbound,W,30073636,10,12
29970,Westbound,W,104477,10,12
1980,Westbound,E,20140757,10,12
25357,Northbound,N,20041330,10,12
25360,Southbound,N,20041330,10,12
3285,Eastbound,W,30011544,10,12
33160,Southbound,N,14307786,10,12
33159,Northbound,N,14307786,10,12
28922,Eastbound,W,30085272,10,12
28921,Westbound,E,30085273,10,12
22250,Northbound,S,10487714,10,12
22251,Southbound,N,10487714,10,12
3504,Southbound,N,14304138,10,2
31473,Southbound,N,30004696,10,2
23107,Eastbound,W,112765,10,2
36363,Southbound,S,436109,10,2
24887,Westbound,W,30060510,10,2
24886,Eastbound,W,30060510,10,2
3526,Northbound,S,108379,10,2
28179,Southbound,N,30013783,10,2
28180,Northbound,N,30013783,10,2
29639,Northbound,N,30011526,10,2
23318,Southbound,N,30011526,10,2
34510,Southbound,N,20364355,10,2
30237,Northbound,S,20111019,10,2
20519,Westbound,W,30005881,10,2
1686,Northbound,S,105462,10,3
3351,Southbound,N,7514990,10,3
29614,Southbound,N,2597802,10,3
32485,Southbound,N,30075834,10,3
29673,Westbound,E,30005845,10,3
30787,Eastbound,W,20078109,10,4
20608,Northbound,S,7074349,10,4
20609,Southbound,N,7074349,10,4
37224,Southbound,N,111323,10,4
37225,Northbound,S,111323,10,4
33844,Eastbound,W,7731208,10,5
37388,Northbound,S,14049254,10,5
11487,Southbound,N,14019222,10,5
37390,Southbound,N,14049254,10,5
1179,Eastbound,E,911992,10,1
3765,Northbound,S,14063952,10,1
3766,Southbound,S,14063952,10,1
11442,Westbound,E,1138205,10,1
11443,Eastbound,W,1138205,10,1
14019,Southbound,S,7737,10,1
14020,Northbound,S,7737,10,1
21253,Northbound,S,20045555,10,1
21254,Southbound,N,20045555,10,1
21331,Westbound,E,30062306,10,1
21332,Eastbound,E,30062306,10,1
21558,Northbound,S,439974,10,1
21560,Southbound,S,439974,10,1
21586,Eastbound,E,438456,10,1
21589,Westbound,E,438456,10,1
21814,Northbound,N,437613,10,1
24852,Eastbound,W,841,10,1
25465,Southbound,S,30089908,10,1
25468,Northbound,S,30089908,10,1
25778,Westbound,E,914665,10,1
25816,Eastbound,E,914678,10,1
26062,Southbound,N,7796027,10,1
26314,Eastbound,E,439745,10,1
26390,Southbound,N,12491314,10,1
26392,Northbound,N,12491314,10,1
27069,Northbound,N,442586,10,1
27509,Northbound,S,3111364,10,1
27759,Eastbound,W,1143000,10,1
28850,Northbound,N,30062226,10,1
28851,Southbound,N,30062226,10,1
29297,Northbound,N,30085820,10,1
29301,Southbound,N,30085820,10,1
29543,Northbound,N,20034586,10,1
29821,Westbound,E,107652,10,1
30363,Northbound,N,112417,10,1
30557,Southbound,N,30076006,10,1
30726,Southbound,N,6257558,10,1
30727,Northbound,N,6257558,10,1
30925,Northbound,N,108418,10,1
30938,Westbound,E,246,10,1
32627,Eastbound,W,14247636,10,1
32628,Westbound,E,14247637,10,1
32978,Southbound,N,20089994,10,1
33692,Southbound,N,30068848,10,1
33693,Northbound,N,30068848,10,1
34114,Northbound,S,913646,10,1
34739,Eastbound,W,910481,10,1
34740,Westbound,E,910481,10,1
35247,Eastbound,W,30073171,10,1
35249,Westbound,E,30073171,10,1
35721,Westbound,E,9066262,10,1
37542,Eastbound,W,30058055,10,1
37543,Westbound,E,30058054,10,1
1271,,,,11,1
2246,,,,11,1
20641,,,,11,1
20650,,,,11,1
20669,,,,11,1
21544,,,,11,1
21546,,,,11,1
29183,,,,11,1
29775,,,,11,1
29776,,,,11,1
30561,,,,11,1
31653,,,,11,1
31654,,,,11,1
34017,,,,11,1
34566,,,,11,1
34567,,,,11,1
34768,,,,11,1
2976,Southbound,N,442754,10,
23816,Northbound,S,20235445,10,
11502,Northbound,N,14043810,10,
3113,Southbound,S,30011542,10,
31974,Westbound,E,30005145,10,
11518,Northbound,S,20056806,10,
3830,Southbound,N,12334624,10,
24796,Southbound,N,30006887,10,
23211,Northbound,S,30014930,10,
11647,Northbound,N,14675034,10,
11648,Southbound,N,14675034,10,
31250,Southbound,N,7973682,10,
34675,Westbound,E,30090074,10,
26153,Eastbound,W,14673437,10,
22583,Southbound,S,912099,10,
36307,Southbound,N,30066217,10,
37212,Northbound,N,30075786,10,
30671,Southbound,N,9135170,10,
27762,,,,11,
1980,,,,11,
30586,,,,11,
16672,,,,11,
37244,,,,11,
6542,,,,11,
6493,,,,11,
3285,,,,11,
16509,,,,11,
3524,,,,11,
