centreline_id,arterycode,linear_name,description,comment
540,24416,Dawes,DAWES RD E/B W OF VICTORIA PARK AVE,fix geometry (should align with CL 540)
108619,3526,Victoria Pr N 401 C E,VICTORIA PARK AVE N/B TO HIGHWAY 401 W/B,fix geometry (should align with CL 108379)
436295,29919,Hawleaf,CLIFFWOOD RD W/B W OF HAWLEAF CRES,change mapping to CL 30006220
436295,29920,Hawleaf,CLIFFWOOD RD E/B E OF HAWLEAF CRES,change mapping to CL 30006220
440607,31959,Demaris,TOPCLIFF AVE NB S OF YELLOWSTONE ST,change mapping to CL 30071767
440607,31960,Demaris,TOPCLIFF AVE S/B N OF DEMARIS AVE,change mapping to CL 30071767
910701,30659,Royal York S Dundas E,DUNDAS ST E/B W OF ROYAL YORK RD,change mapping to CL 30067949
913696,30237,Kipling S Gardiner C W,KIPLING AVE N/B S OF GARDINER EXPWY WB OFF RAMP SIGNAL,change mapping to CL 20111019
6853473,20397,Dvp N Don Mills Rd N,DON MILLS RD N/B S OF DON VALLEY PARKWAY N,change mapping to CL 30066162
6853473,20401,Dvp N Don Mills Rd N,DON MILLS RD S/B S OF DON VALLEY PARKWAY N,change mapping to CL 30066162
9344363,34008,Poplar Heights,POPLAR HTS DR E/B W OF ROBALDON RD,change mapping to CL 30073636
9344363,34009,Poplar Heights,POPLAR HEIGHTS DR W/B E OF VANCHO CRES,change mapping to CL 30073636
13971133,16509,William Carson,WILLIAM CARSON CR E/B W OF YONGE ST,remove - doesn't exist in CL file
13971133,16510,William Carson,WILLIAM CARSON CR  W/B W OF YONGE ST,remove - doesn't exist in CL file
14252787,33159,Osprey,KNOWLES DR N/B N OF OSPREY CRT,fix geometry (should align with CL 14307787)
14252787,33160,Osprey,KNOWLES DR S/B N OF OSPREY CRT,fix geometry (should align with CL 14307787)
30011526,3285,Avenue,HIGHWAY 401 E/B TO AVENUE RD S/B,remove - only partial volumes on both legs
30028881,27171,Lee Centre,LEE CENTRE DR W/B E OF LEE CENTRE DR W LEG,change mapping to CL 30028880
30028881,27172,Lee Centre,LEE CENTRE DR E/B W OF LEE CENTRE DR E LEG,change mapping to CL 30028880
30038151,27357,Military,MILITARY TRAIL S/B N OF ELLESMERE RD WTCS,change mapping to CL 30038153
30075831,23140,Royal York S Dundas E,RAMP ROYAL YORK RD S/B TO DUNDAS ST E/B,change mapping to CL 910701
20051038,29557,,,change mapping to CL 20051039
30039431,35537,,,change mapping to CL 30039432
30039431,35538,,,change mapping to CL 30039433
30022993,3191,,,change mapping to CL 30022999
909016,1166,,,change mapping to CL 909095
909095,3284,,,change mapping to CL 909016
913591,1283,,,change mapping to CL 913561
892,2966,,,change mapping to CL 6853471
442569,2976,,,change mapping to CL 442754
442365,3075,,,change mapping to CL 442364
12334939,3282,,,change mapping to CL 12334940
12373943,3478,,,change mapping to CL 12373943
6837745,3482,,,change mapping to CL 6837746
1147278,3518,,,change mapping to CL 30054171
1147281,3519,,,change mapping to CL 12334091
12334091,3522,,,change mapping to CL 12334089
5788491,7782,,,change mapping to CL 12353415
109936,28800,,,change mapping to CL 109937
109937,28799,,,change mapping to CL 109937
30004153,5,,,change mapping to CL 30004153
20259494,6,,,change mapping to CL 20259494
30092432,44,,,change mapping to CL 30092432
30071209,47,,,change mapping to CL 30071209
30068876,79,,,change mapping to CL 30068876
30071842,83,,,change mapping to CL 30071842
30044441,88,,,change mapping to CL 30044441
30100672,99,,,change mapping to CL 30100672
30075799,125,,,change mapping to CL 30075799
30060358,126,,,change mapping to CL 30060358
30001367,133,,,change mapping to CL 30001367
30001418,134,,,change mapping to CL 30001418
20053372,135,,,change mapping to CL 20053372
30060358,141,,,change mapping to CL 30060358
30002248,142,,,change mapping to CL 30002248
20035248,148,,,change mapping to CL 20035248
30019983,150,,,change mapping to CL 30019983
20050591,153,,,change mapping to CL 20050591
20050591,158,,,change mapping to CL 20050591
20062172,197,,,change mapping to CL 20062172
