arterycode,direction,sideofint,centreline_id,artery_type,match_on_case,was_match_on_case
3926,Eastbound,E,1146011,2,10,6
3926,Westbound,E,1146011,2,10,6
3926,Northbound,S,14015865,2,10,6
3926,Southbound,S,14015865,2,10,6
3926,Eastbound,W,8265330,2,10,6
3926,Westbound,W,8265330,2,10,6
3943,Eastbound,E,14253384,2,10,6
3943,Westbound,E,14253384,2,10,6
3943,Northbound,N,8594395,2,10,6
3943,Southbound,N,8594395,2,10,6
3943,Northbound,S,654,2,10,6
3943,Southbound,S,654,2,10,6
3943,Eastbound,W,20042173,2,10,6
3943,Westbound,W,20042173,2,10,6
3950,Eastbound,E,14666456,2,10,6
3950,Westbound,E,14666456,2,10,6
3950,Northbound,N,111733,2,10,6
3950,Southbound,N,111733,2,10,6
3950,Northbound,S,2016044,2,10,6
3950,Southbound,S,2016044,2,10,6
3950,Eastbound,W,111762,2,10,6
3950,Westbound,W,111762,2,10,6
3953,Eastbound,E,20112785,2,10,6
3953,Westbound,E,20112785,2,10,6
3953,Northbound,N,8100562,2,10,6
3953,Southbound,N,8100562,2,10,6
3953,Northbound,S,108335,2,10,6
3953,Southbound,S,108335,2,10,6
3953,Eastbound,W,108297,2,10,6
3953,Westbound,W,108297,2,10,6
3959,Eastbound,E,10368089,2,10,6
3959,Westbound,E,10368089,2,10,6
3959,Northbound,N,440178,2,10,6
3959,Southbound,N,440178,2,10,6
3959,Northbound,S,10459275,2,10,6
3959,Southbound,S,10459275,2,10,6
3959,Eastbound,W,10459142,2,10,6
3959,Westbound,W,10459142,2,10,6
3969,Eastbound,E,907386,2,10,6
3969,Westbound,E,907386,2,10,6
3969,Northbound,N,907387,2,10,6
3969,Southbound,N,907390,2,10,6
3969,Northbound,S,30001195,2,10,6
3969,Southbound,S,30001198,2,10,6
3969,Eastbound,W,20232385,2,10,6
3969,Westbound,W,20232385,2,10,6
3974,Eastbound,E,5625788,2,10,6
3974,Westbound,E,5625788,2,10,6
3974,Northbound,N,446662,2,10,6
3974,Southbound,N,446662,2,10,6
3974,Northbound,S,446666,2,10,6
3974,Southbound,S,446666,2,10,6
3974,Eastbound,W,446662,2,10,6
3974,Westbound,W,446662,2,10,6
4034,Northbound,N,2215085,2,10,6
4034,Southbound,N,2215085,2,10,6
4034,Northbound,S,1143578,2,10,6
4034,Southbound,S,1143578,2,10,6
4034,Eastbound,W,14014007,2,10,6
4034,Westbound,W,14014007,2,10,6
4197,Westbound,E,6341291,2,10,6
4197,Southbound,N,6341247,2,10,6
4197,Westbound,W,1142935,2,10,6
4243,Westbound,E,2633805,2,10,6
4243,Northbound,N,8536083,2,10,6
4243,Southbound,N,8536083,2,10,6
4243,Northbound,S,7753909,2,10,6
4243,Southbound,S,7753909,2,10,6
4243,Westbound,W,20054199,2,10,6
4342,Eastbound,E,2633805,2,10,6
4342,Northbound,N,441328,2,10,6
4342,Southbound,N,441328,2,10,6
4342,Northbound,S,441373,2,10,6
4342,Southbound,S,441373,2,10,6
4342,Eastbound,W,11541970,2,10,6
4342,Westbound,W,11541970,2,10,6
4414,Eastbound,E,444763,2,10,6
4414,Westbound,E,444763,2,10,6
4414,Northbound,N,8649749,2,10,6
4414,Southbound,N,8649749,2,10,6
4414,Northbound,S,444999,2,10,6
4414,Southbound,S,444999,2,10,6
4414,Eastbound,W,8609194,2,10,6
4414,Westbound,W,8609194,2,10,6
4440,Eastbound,E,14677598,2,10,6
4440,Westbound,E,14677598,2,10,6
4440,Northbound,S,906673,2,10,6
4440,Southbound,S,906673,2,10,6
4455,Eastbound,E,112953,2,10,6
4455,Westbound,E,112953,2,10,6
4455,Northbound,N,112954,2,10,6
4455,Southbound,N,112954,2,10,6
4455,Northbound,S,112988,2,10,6
4455,Southbound,S,112988,2,10,6
4455,Eastbound,W,112964,2,10,6
4455,Westbound,W,112964,2,10,6
4571,Eastbound,E,14254832,2,10,6
4571,Westbound,E,14254832,2,10,6
4571,Northbound,N,14254832,2,10,6
4571,Southbound,N,14254832,2,10,6
4571,Northbound,S,841,2,10,6
4571,Southbound,S,841,2,10,6
4571,Eastbound,W,791,2,10,6
4571,Westbound,W,791,2,10,6
4585,Northbound,N,1140207,2,10,6
4585,Southbound,N,1140207,2,10,6
4585,Northbound,S,10663886,2,10,6
4585,Southbound,S,10663886,2,10,6
4691,Northbound,N,13971323,2,10,8
4691,Southbound,N,13971323,2,10,8
4691,Eastbound,W,13971323,2,10,8
4691,Westbound,W,13971323,2,10,8
4720,Eastbound,E,8677049,2,10,6
4720,Westbound,E,8677049,2,10,6
4720,Northbound,N,30016129,2,10,6
4720,Southbound,N,30016129,2,10,6
4720,Northbound,S,8680975,2,10,6
4720,Southbound,S,8680975,2,10,6
4720,Eastbound,W,432,2,10,6
4720,Westbound,W,432,2,10,6
4721,Eastbound,E,825,2,10,6
4721,Westbound,E,825,2,10,6
4721,Northbound,N,821,2,10,6
4721,Southbound,N,821,2,10,6
4721,Northbound,S,14072860,2,10,6
4721,Southbound,S,14072860,2,10,6
4721,Eastbound,W,820,2,10,6
4721,Westbound,W,820,2,10,6
4738,Eastbound,E,9950387,2,10,8
4738,Westbound,E,9950387,2,10,8
4738,Northbound,N,9950387,2,10,8
4738,Southbound,N,9950387,2,10,8
4786,Eastbound,E,106859,2,10,6
4786,Westbound,E,106859,2,10,6
4786,Northbound,N,4940118,2,10,6
4786,Southbound,N,4940118,2,10,6
4786,Northbound,S,30001937,2,10,6
4786,Southbound,S,30001937,2,10,6
4786,Eastbound,W,106814,2,10,6
4786,Westbound,W,106814,2,10,6
4796,Eastbound,E,1140726,2,10,6
4796,Westbound,E,1140726,2,10,6
4796,Northbound,N,7992364,2,10,6
4796,Southbound,N,7992364,2,10,6
4796,Northbound,S,1140925,2,10,6
4796,Southbound,S,1140925,2,10,6
4796,Eastbound,W,1140728,2,10,6
4796,Westbound,W,1140728,2,10,6
4810,Eastbound,E,7348642,2,10,6
4810,Westbound,E,7348642,2,10,6
4810,Northbound,N,30011819,2,10,6
4810,Southbound,N,30011819,2,10,6
4810,Northbound,S,111671,2,10,6
4810,Southbound,S,111671,2,10,6
4810,Eastbound,W,111648,2,10,6
4810,Westbound,W,111648,2,10,6
4867,Northbound,N,1143833,2,10,6
4867,Southbound,N,1143833,2,10,6
4867,Northbound,S,30039399,2,10,6
4867,Southbound,S,30039399,2,10,6
4867,Eastbound,W,14014042,2,10,6
4867,Westbound,W,14014042,2,10,6
4875,Eastbound,E,2884176,2,10,6
4875,Westbound,E,2884176,2,10,6
4875,Northbound,N,2884227,2,10,6
4875,Southbound,N,2884227,2,10,6
4875,Northbound,S,8754471,2,10,6
4875,Southbound,S,8754471,2,10,6
4875,Eastbound,W,112092,2,10,6
4875,Westbound,W,112092,2,10,6
4962,Eastbound,E,8680749,2,10,6
4962,Westbound,E,8680749,2,10,6
4962,Northbound,N,736,2,10,6
4962,Southbound,N,736,2,10,6
4962,Northbound,S,851,2,10,6
4962,Southbound,S,851,2,10,6
4962,Eastbound,W,14253406,2,10,6
4962,Westbound,W,14253406,2,10,6
5201,Eastbound,E,8761,2,10,6
5201,Westbound,E,8761,2,10,6
5201,Northbound,N,8755,2,10,6
5201,Southbound,N,8755,2,10,6
5201,Northbound,S,20113015,2,10,6
5201,Southbound,S,20113015,2,10,6
5201,Eastbound,W,10367368,2,10,6
5201,Westbound,W,10367368,2,10,6
5202,Eastbound,E,7878,2,10,6
5202,Westbound,E,7878,2,10,6
5202,Northbound,N,7829,2,10,6
5202,Southbound,N,7829,2,10,6
5202,Northbound,S,8028,2,10,6
5202,Southbound,S,8028,2,10,6
5202,Eastbound,W,7206707,2,10,6
5202,Westbound,W,7206707,2,10,6
5364,Eastbound,E,7968,2,10,6
5364,Westbound,E,7968,2,10,6
5364,Northbound,N,2302332,2,10,6
5364,Southbound,N,2302332,2,10,6
5364,Northbound,S,10706173,2,10,6
5364,Southbound,S,10706173,2,10,6
5364,Eastbound,W,7932,2,10,6
5364,Westbound,W,7932,2,10,6
5373,Eastbound,E,20080626,2,10,6
5373,Westbound,E,20080601,2,10,6
5373,Northbound,N,20080593,2,10,6
5373,Southbound,N,20080593,2,10,6
5373,Northbound,S,20080622,2,10,6
5373,Southbound,S,20080622,2,10,6
5462,Eastbound,E,914146,2,10,6
5462,Westbound,E,914146,2,10,6
5462,Northbound,N,30073849,2,10,6
5462,Southbound,N,30073849,2,10,6
5462,Northbound,S,914190,2,10,6
5462,Southbound,S,914285,2,10,6
5513,Eastbound,E,437883,2,10,6
5513,Westbound,E,437881,2,10,6
5513,Northbound,N,437882,2,10,6
5513,Southbound,N,437882,2,10,6
5513,Northbound,S,438089,2,10,6
5513,Southbound,S,438089,2,10,6
5559,Northbound,N,913102,2,10,6
5559,Southbound,N,913102,2,10,6
5559,Northbound,S,30069697,2,10,6
5559,Southbound,S,30069697,2,10,6
5559,Westbound,W,30069694,2,10,6
5573,Eastbound,E,436101,2,10,6
5573,Westbound,E,436101,2,10,6
5573,Northbound,S,436232,2,10,6
5573,Southbound,S,436109,2,10,6
5573,Eastbound,W,14304237,2,10,6
5573,Westbound,W,14304237,2,10,6
5590,Eastbound,E,3484504,2,10,6
5590,Westbound,E,3484504,2,10,6
5590,Northbound,N,3484504,2,10,6
5590,Southbound,N,3484504,2,10,6
5590,Northbound,S,110413,2,10,6
5590,Southbound,S,110413,2,10,6
5590,Eastbound,W,110384,2,10,6
5590,Westbound,W,110384,2,10,6
5605,Northbound,N,112813,2,10,6
5605,Southbound,N,112813,2,10,6
5605,Northbound,S,112861,2,10,6
5605,Southbound,S,112861,2,10,6
5610,Eastbound,E,9848317,2,10,6
5610,Westbound,E,9848317,2,10,6
5610,Northbound,N,8089,2,10,6
5610,Southbound,N,8089,2,10,6
5610,Northbound,S,8175,2,10,6
5610,Southbound,S,8175,2,10,6
5610,Eastbound,W,8090,2,10,6
5610,Westbound,W,8090,2,10,6
5625,Eastbound,E,30076890,2,10,6
5625,Westbound,E,30076890,2,10,6
5625,Northbound,N,1146606,2,10,6
5625,Southbound,N,1146606,2,10,6
5625,Northbound,S,7617736,2,10,6
5625,Southbound,S,7617736,2,10,6
5625,Eastbound,W,7617692,2,10,6
5625,Westbound,W,7617692,2,10,6
5655,Eastbound,E,111053,2,10,6
5655,Westbound,E,111053,2,10,6
5655,Northbound,N,111054,2,10,6
5655,Southbound,N,111054,2,10,6
5655,Northbound,S,111097,2,10,6
5655,Southbound,S,111097,2,10,6
5655,Eastbound,W,111123,2,10,6
5655,Westbound,W,111123,2,10,6
5688,Northbound,N,14018242,2,10,6
5688,Southbound,N,14018242,2,10,6
5688,Eastbound,W,14039234,2,10,6
5688,Westbound,W,14039234,2,10,6
5938,Westbound,E,13502871,2,10,6
5938,Northbound,N,105484,2,10,6
5938,Southbound,N,105484,2,10,6
5938,Northbound,S,105605,2,10,6
5938,Southbound,S,105605,2,10,6
5938,Westbound,W,105696,2,10,6
5954,Eastbound,E,8443,2,10,6
5954,Westbound,E,8443,2,10,6
5954,Northbound,N,8307,2,10,6
5954,Southbound,N,8307,2,10,6
5954,Northbound,S,14067459,2,10,6
5954,Southbound,S,14067459,2,10,6
5954,Eastbound,W,8837556,2,10,6
5954,Westbound,W,8837556,2,10,6
6014,Eastbound,E,112799,2,10,6
6014,Westbound,E,112800,2,10,6
6014,Northbound,S,30054229,2,10,6
6014,Southbound,S,30054229,2,10,6
6014,Eastbound,W,4355284,2,10,6
6014,Westbound,W,4355284,2,10,6
6204,Eastbound,E,7466844,2,10,6
6204,Westbound,E,7466844,2,10,6
6204,Northbound,N,1144630,2,10,6
6204,Southbound,N,1144630,2,10,6
6204,Northbound,S,7399038,2,10,6
6204,Southbound,S,7399038,2,10,6
6204,Eastbound,W,1144740,2,10,6
6204,Westbound,W,1144740,2,10,6
6284,Eastbound,E,111785,2,10,6
6284,Westbound,E,111785,2,10,6
6284,Northbound,N,111786,2,10,6
6284,Southbound,N,111786,2,10,6
6284,Northbound,S,111813,2,10,6
6284,Southbound,S,111813,2,10,6
6284,Eastbound,W,30015906,2,10,6
6284,Westbound,W,30015906,2,10,6
6465,Eastbound,E,30076967,2,10,6
6465,Westbound,E,30076967,2,10,6
6465,Northbound,N,30076965,2,10,6
6465,Southbound,N,30076965,2,10,6
6465,Northbound,S,1141641,2,10,6
6465,Southbound,S,1141641,2,10,6
6465,Eastbound,W,8492575,2,10,6
6465,Westbound,W,8492575,2,10,6
6667,Eastbound,E,112423,2,10,6
6667,Westbound,E,112423,2,10,6
6667,Northbound,N,112424,2,10,6
6667,Southbound,N,112424,2,10,6
